Sat.Earth.RMAG            Sat.EarthMJ2000Eq.VMAG    Sat.Earth.TA              Sat.Earth.SMA             Sat.Earth.ECC             Sat.EarthMJ2000Eq.FPA     Sat.ElapsedSecs           Sat.Earth.SemilatusRectum   
12492.04272350805         7.681071238094626         345.1405880689805         82734.26567483816         0.8513320108585539        96.82973154888613         230.0000000162981         22771.26693482382           
12483.01365282716         7.684075385292656         345.4906407684074         82734.26567483816         0.8513320108585538        96.66899222116905         240.0000001536682         22771.26693482382           
12474.19540557275         7.687012449563986         345.8411943055627         82734.26567483804         0.8513320108585536        96.50801185758539         249.9999999767169         22771.26693482382           
12465.58861023831         7.689882009367759         346.1922378681397         82734.26567483791         0.8513320108585533        96.3467956553333          260.000000114087          22771.26693482381           
12457.19388221002         7.692683651178049         346.5437605369661         82734.26567483791         0.8513320108585534        96.18534886347581         269.9999999371357         22771.26693482381           
12449.01182358654         7.695416969655566         346.8957512878836         82734.26567483804         0.8513320108585537        96.02367678203096         280.0000000745058         22771.26693482382           
12441.04302300179         7.698081567817026         347.2481989936825         82734.26567483804         0.8513320108585537        95.86178476103429         289.9999998975545         22771.26693482382           
12433.28805545066         7.700677057202052         347.6010924260916         82734.26567483827         0.8513320108585539        95.69967819957471         300.0000000349246         22771.26693482382           
12425.74748211805         7.703203058037482         347.9544202578245         82734.26567483852         0.8513320108585544        95.53736254480333         309.9999998579733         22771.26693482383           
12418.42185021106         7.705659199398925         348.308171064677          82734.26567483804         0.8513320108585534        95.37484329091626         319.9999999953434         22771.26693482381           
12411.31169279463         7.708045119369467         348.6623333276804         82734.26567483804         0.8513320108585536        95.21212597811133         330.0000001327135         22771.26693482382           
12404.41752863065         7.710360465195351         349.0168954353052         82734.26567483779         0.8513320108585533        95.04921619151933         339.9999999557622         22771.26693482381           
12397.73986202072         7.712604893438538         349.371845685718          82734.26567483779         0.8513320108585531        94.88611956011017         350.0000000931323         22771.26693482382           
12391.27918265253         7.714778070126            349.7271722890868         82734.26567483791         0.8513320108585531        94.72284175557452         359.999999916181          22771.26693482382           
12385.03596545017         7.71687967089562          350.0828633699376         82734.26567483718         0.8513320108585521        94.55938849118115         370.000000053551          22771.26693482381           
12379.01067042825         7.718909381138585         350.4389069695583         82734.26567483718         0.851332010858552         94.39576552061094         379.9999998765998         22771.26693482379           
12373.20374255013         7.720866896138124         350.7952910484505         82734.26567483693         0.8513320108585517        94.23197863676745         390.0000000139698         22771.26693482379           
12367.61561159015         7.722751921204503         351.1520034888272         82734.26567483718         0.8513320108585521        94.06803367056536         400.0000001513399         22771.26693482379           
12362.24669200018         7.724564171806129         351.5090320971552         82734.26567483705         0.8513320108585516        93.90393648969675         409.9999999743886         22771.26693482379           
12357.09738278042         7.726303373696666         351.8663646067415         82734.26567483645         0.8513320108585508        93.73969299737615         420.0000001117587         22771.26693482377           
12352.16806735457         7.727969263038046         352.2239886803627         82734.26567483657         0.851332010858551         93.57530913106493         429.9999999348074         22771.26693482378           
12347.45911344947         7.729561586519255         352.5818919129341         82734.26567483632         0.8513320108585507        93.4107908611756          440.0000000721775         22771.26693482377           
12342.97087297944         7.731080101470804         352.9400618342195         82734.26567483621         0.8513320108585504        93.24614418975688         449.9999998952262         22771.26693482377           
12338.70368193502         7.732524575974777         353.2984859115787         82734.26567483632         0.8513320108585506        93.08137514915995         460.0000000325963         22771.26693482377           
12334.65786027666         7.733894788970343         353.6571515527526         82734.26567483596         0.8513320108585498        92.91648980068693         469.999999855645          22771.26693482377           
12330.83371183309         7.735190530354653         354.0160461086818         82734.26567483645         0.8513320108585507        92.75149423322212         479.9999999930151         22771.26693482377           
